title,NPC_total,NPC_chunks,NPC_variations,NPC_sequences,NPC_grammar,NPC_ho,NPC_au,unique_pitches,unique_durations,encoding_length,num_unique_chunks,num_variations
Miss Kelly's Favorite (reel),124,64,4,31,25,0,0,12,4,32,16,5
Mrs. Ross' Jig,118,22,8,63,25,0,0,8,3,64,7,10
"Rockfield Cottages (reel), The",163,66,5,63,29,0,0,13,5,64,19,5
"Tee-Ree Reel, The",219,108,5,62,44,0,0,12,4,63,32,6
"Silver Spire (reel), The",249,123,11,61,54,0,0,14,4,62,37,11
Jenny's Folly (reel),297,105,11,124,57,0,0,16,5,125,30,11
Fair Wind (reel),109,19,4,64,22,0,0,5,4,65,5,4
"Ranting Widow* (reel), The",115,53,5,31,26,0,0,11,3,32,15,4
"Calendar Jig, The",197,10,9,128,50,0,0,4,2,129,5,10
Crabs in the Greasepot,217,53,9,108,47,0,0,12,4,109,16,10
"Boyne Water (hornpipe), The",160,64,4,62,30,0,0,11,4,63,21,4
"South Road to Aran, The",118,11,9,64,34,0,0,5,3,65,5,12
Kane's (reel),94,45,1,31,17,0,0,12,3,32,12,1
Red Sky at Sunset*,124,12,14,64,34,0,0,6,3,65,5,17
"Pretty Girls of Mayo (reel), The",59,7,4,32,16,0,0,3,2,33,2,4
"Flowers of Spring, The",104,7,7,64,26,0,0,3,2,65,4,7
Laura's Delight,135,36,6,64,29,0,0,12,4,65,12,8
Killoran's 2 (polka),147,52,5,63,27,0,0,12,4,64,18,5
"Christening (reel), The",102,53,1,31,17,0,0,13,5,32,13,1
"Grand Gates of Annesbrook (reel), The",215,50,2,127,36,0,0,12,2,128,15,2
Glencolmcille (reel),141,37,9,64,31,0,0,13,4,65,9,10
Rolling in the Barrel (reel),111,56,1,32,22,0,0,12,5,33,16,1
"Stage Reel, The",181,79,6,64,32,0,0,15,5,65,21,6
Antrim Rose (reel),137,44,3,64,26,0,0,8,4,65,14,3
Kilcummin Slide*,147,36,13,62,36,0,0,11,3,63,16,14
"Farnaught Jig*, The",161,13,7,96,45,0,0,6,3,97,6,8
"Miller's Maid (reel), The",174,89,5,45,35,0,0,11,6,46,26,4
Peacock's Feather 1 (hornpipe),153,55,5,64,29,0,0,12,3,65,18,4
Preston's Reel,103,48,4,31,20,0,0,11,3,32,12,4
