title,NPC_total,NPC_chunks,NPC_variations,NPC_sequences,NPC_grammar,NPC_ho,NPC_au,unique_pitches,unique_durations,encoding_length,num_unique_chunks,num_variations
Martin Mulhaire's #9 (reel),126,20,11,64,31,0,0,9,3,65,6,11
Molly From Longford,120,13,10,63,34,0,0,7,3,64,5,12
"Thrush in the Storm (reel), The",149,58,3,63,25,0,0,12,2,64,16,3
"White Leaf (reel), The",145,51,3,64,27,0,0,9,4,65,16,4
"Lass in the Parlour, The",98,22,5,48,23,0,0,7,4,49,8,6
Carmel Mahoney Mulhaire (reel),409,200,10,127,72,0,0,24,6,128,55,10
"Cabin Hunter (reel), The",103,41,8,32,22,0,0,10,4,33,11,6
"Blackthorn Stick (reel), The",118,62,2,32,22,0,0,13,4,33,17,2
"Wheels of the World (reel), The",172,68,6,63,35,0,0,18,3,64,19,5
"Boy in the Boat (reel), The",155,74,2,48,31,0,0,16,4,49,21,2
"Mountain Lark (reel), The",108,48,4,32,24,0,0,12,4,33,13,4
Happy to Meet,111,13,8,64,26,0,0,5,3,65,6,8
I Ne'er Shall Wean Her,120,15,12,64,29,0,0,8,2,65,7,12
Christmas Night,131,28,10,60,33,0,0,10,4,61,13,11
"Old Favorite, The",113,12,4,64,33,0,0,5,3,65,6,8
Big John's Reel,155,62,2,64,27,0,0,13,5,65,17,3
"Woman of the House (reel), The",141,50,3,63,25,0,0,10,4,64,13,3
"Irish Frolic, The",170,31,2,111,26,0,0,12,3,112,9,2
"Sligo Jig, The",127,37,1,64,25,0,0,11,4,65,14,1
Memories of Kesh (reel),115,54,5,33,23,0,0,12,6,34,14,5
Ducks Die on Christmas Day,119,24,6,63,26,0,0,8,3,64,9,9
If I Had a Wife,165,19,10,97,39,0,0,9,3,98,9,13
"Mistress of the House (reel), The",89,21,7,31,30,0,0,9,3,32,7,7
"True Daughter of Sligo* (reel), A",120,40,0,63,17,0,0,10,5,64,9,0
Trim the Velvet (reel),161,41,8,64,48,0,0,11,4,65,12,9
O'Shaughnessy's Reel,122,50,14,31,27,0,0,14,5,32,12,11
"Carlow Tinker (reel), The",205,39,4,127,35,0,0,13,2,128,10,4
Reilly's (reel),80,12,11,32,25,0,0,6,2,33,3,11
"Splendid Hornpipe, The",139,48,4,64,23,0,0,12,3,65,14,5
"Dunmore Lasses (reel), The",110,47,6,31,26,0,0,11,3,32,12,4
"Old Brown Slipper, The",106,26,7,47,26,0,0,8,3,48,11,8
Malloy's Favorite (reel),200,54,11,97,38,0,0,12,5,98,15,9
"Glountane Reel, The",122,59,8,31,24,0,0,12,4,32,17,5
Tom Ward's Downfall (reel),187,84,5,63,35,0,0,14,3,64,24,6
Sister's Return,194,48,7,96,43,0,0,10,3,97,20,9
Murphy's (hornpipe),292,92,10,128,62,0,0,13,6,129,30,10
"Buck in the Wood, The",94,8,8,48,30,0,0,3,3,49,4,8
"Musical Mulvihills* (reel), The",121,17,10,64,30,0,0,6,3,65,6,11
"Dimmers (reel), The",103,50,1,32,20,0,0,11,5,33,13,1
Last Night's Fun,91,19,4,47,21,0,0,8,2,48,6,4
"Blue Bells (reel), The",247,124,4,62,57,0,0,15,3,63,40,8
Mungo Kelly (reel),84,25,5,32,22,0,0,8,2,33,7,6
"Hunter's Prize* (polka), The",145,40,11,64,30,0,0,12,4,65,15,12
Jenny Tie Your Bonnet (reel),107,46,6,31,24,0,0,10,4,32,12,5
Porter or Buttermilk? (hornpipe) *,141,48,2,64,27,0,0,11,5,65,14,2
"College Grove (reel), The",154,62,3,63,26,0,0,18,3,64,14,3
Boy in the Gap (reel),169,74,1,64,30,0,0,13,4,65,20,1
Jack Wade the Piper* (reel),105,53,2,32,18,0,0,11,6,33,14,2
Ripples on the River* (hornpipe),136,37,8,64,27,0,0,8,3,65,11,9
Miss Jenny's*  (polka),114,17,7,63,27,0,0,7,4,64,5,7
"Rusty Boat* (reel) , The",94,40,5,31,18,0,0,10,2,32,10,4
Tony Lowe's (polka),126,30,7,64,25,0,0,9,4,65,11,11
Joe Derrane's,123,15,10,64,34,0,0,6,4,65,6,11
Dolly & the Gypsy*  (barn dance),133,37,4,64,28,0,0,9,6,65,13,4
"Boys Of The Lough (reel), The",169,52,11,64,42,0,0,11,4,65,13,10
Sweeney's Dream* (reel),112,53,4,31,24,0,0,12,3,32,14,4
"Maid in the Rushes (reel), The",155,56,6,64,29,0,0,12,3,65,15,6
Paddy McFadden's,111,21,4,64,22,0,0,8,4,65,8,5
Fitzgerald's (hornpipe),144,56,3,64,21,0,0,12,6,65,14,3
"Ballina Lass* (reel), The",110,51,4,32,23,0,0,10,5,33,14,4
"Dairymaid (reel), The",135,62,10,32,31,0,0,12,4,33,18,9
"Cullen Slide #2*, The",99,12,4,64,19,0,0,6,3,65,5,4
Connolly's Reel (reel),134,28,10,63,33,0,0,11,4,64,8,10
"Humors of Lissadell (reel), The",221,115,3,62,41,0,0,15,5,63,31,3
Callaghan from Clare*,152,37,14,60,41,0,0,12,4,61,18,16
"Boat on the Strand*, The",127,31,5,63,28,0,0,8,3,64,12,6
"Dark Girl Dressed in Blue [1] (slide), The",118,15,7,64,32,0,0,7,3,65,7,12
Fowney's Fancy* (polka),107,10,10,64,23,0,0,5,3,65,3,10
Tom Billy's Polka,118,22,9,63,24,0,0,8,4,64,8,11
"Stone Church Polka*, The",125,21,11,64,29,0,0,8,3,65,9,12
Julia Clifford['s] (polka),121,21,9,64,27,0,0,8,5,65,7,11
"Heather Breeze (reel), The",131,44,8,48,31,0,0,15,5,49,11,8
Carty's Reel,115,19,7,64,25,0,0,5,3,65,6,7
Tommy Coen's Jig*,126,20,9,64,33,0,0,8,4,65,8,10
"Green Fields of Glentown (reel), The",248,97,9,94,48,0,0,14,4,95,30,10
Jenny Dang the Weaver (reel),121,26,7,50,38,0,0,8,5,51,8,7
"Aghavas Reel 2, The",114,46,13,31,24,0,0,12,6,32,10,7
"Rambling Connachtman* (reel), The",111,48,5,32,26,0,0,10,3,33,15,7
"Contradiction (reel), The",214,70,8,96,40,0,0,13,8,97,21,9
"Banks of Newfoundland, The",139,42,5,64,28,0,0,9,4,65,16,6
How's the Wife?* (hornpipe),164,63,6,64,31,0,0,13,4,65,20,6
"Old Tipperary Jig, The",122,11,13,64,34,0,0,5,3,65,3,16
Baile an tSamhraidh*,130,25,10,63,32,0,0,10,3,64,9,12
George White's Favorite (reel),153,49,9,64,31,0,0,10,3,65,15,8
Tameen's Reel,122,58,8,30,26,0,0,12,4,31,16,7
"Rathmore Farmer*, The",131,29,10,64,28,0,0,10,4,65,11,13
Jenny Picking Cockles (reel),164,62,7,63,32,0,0,12,4,64,18,6
Jaunting Car for Six,86,16,5,47,18,0,0,6,3,48,6,6
"Yellow Kid (polka), The",115,17,6,62,30,0,0,6,4,63,7,8
Fair Miss McGuÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ­nness (reel),104,49,2,31,22,0,0,11,2,32,14,2
"Cup of Tea (reel), The",175,85,0,63,27,0,0,13,3,64,21,0
Little Red Rock (reel). The,155,59,5,63,28,0,0,11,3,64,17,5
"Nightingale*, The",127,21,13,64,29,0,0,9,4,65,7,13
Miss Monaghan's (reel),248,119,12,63,54,0,0,13,5,64,33,13
Peacock's Feather 2 (hornpipe),140,44,5,63,28,0,0,10,4,64,13,6
"Lads of Laois (reel), The",145,76,8,32,29,0,0,14,7,33,19,8
Kiss the Maid Behind the Barrel (reel),311,112,18,96,85,0,0,13,10,97,35,18
"Tirnaskea Lasses (reel), The",94,42,2,31,19,0,0,13,2,32,10,2
"Satin Slipper Reel [2], The",124,55,7,34,28,0,0,12,3,35,16,7
"Road to Clonmel (reel), The",116,57,4,32,23,0,0,12,5,33,14,4
"Newpuck Reel, The",107,54,2,31,20,0,0,12,5,32,13,2
Annamaculeen Reel,103,38,8,31,26,0,0,7,3,32,13,8
Gregory's Hornpipe,146,50,5,64,27,0,0,10,5,65,14,6
Fun at the Fair*,123,16,8,63,36,0,0,7,4,64,8,14
"Upperchurch Polka #1*, The",121,10,11,63,37,0,0,5,2,64,4,18
"Swallow's Tail (reel), The",167,68,4,64,31,0,0,11,5,65,18,4
"Pirate Ship* (reel), The",106,46,7,31,22,0,0,10,3,32,12,6
Gusty's Frolics,375,71,12,223,69,0,0,18,3,224,26,16
Pat Kellegher's,100,28,4,47,21,0,0,9,3,48,9,4
"Lark in the Morning, The",232,34,10,128,60,0,0,8,3,129,12,16
"Lurgan Hornpipe, The",155,54,6,64,31,0,0,12,5,65,16,10
Paddy O'Brien's Reel,163,59,5,65,34,0,0,17,6,66,15,5
Maura Connolly's (reel),131,30,7,64,30,0,0,12,4,65,7,8
Billy McCormick's,228,31,10,149,38,0,0,11,2,150,11,11
Kitty in the Lane (reel),276,92,6,126,52,0,0,15,8,127,25,7
"Corner House (reel), The",161,64,4,64,29,0,0,12,3,65,19,5
"Murneen Polka*, The",115,19,8,63,25,0,0,6,4,64,7,9
"White Cockade (polka), The",155,44,8,63,40,0,0,10,5,64,18,8
"Sore Foot (reel), The",102,44,4,32,22,0,0,8,3,33,13,5
"Spike Island Lasses (reel), The",298,89,12,129,68,0,0,17,4,130,28,14
"Gowel Reel, The",134,59,2,47,26,0,0,13,3,48,18,2
Smiles and Tears of Erin (reel),99,45,2,31,21,0,0,12,3,32,11,2
"End of the Set*, The",103,9,6,64,24,0,0,4,3,65,4,6
"Pivot Hornpipe, The",152,55,5,64,28,0,0,14,4,65,18,6
Tom Connors' (hornpipe),151,56,4,64,27,0,0,12,3,65,17,4
"Green Tea Reel, The",73,15,5,32,21,0,0,4,3,33,6,5
Upstairs with You (slide),111,20,4,63,24,0,0,8,3,64,9,7
"Northern Slope* (reel), The",199,80,7,64,48,0,0,10,6,65,26,6
June in Dublin* (reel),110,55,2,31,22,0,0,12,4,32,14,2
Con Curtin's Big Balloon,122,10,11,64,37,0,0,4,3,65,5,11
"Waterford Girls, The",96,25,4,47,20,0,0,9,3,48,9,5
"Killinure Reel*, The",130,26,8,63,33,0,0,7,5,64,9,8
Castle Kelly (reel),136,48,3,63,22,0,0,13,4,64,12,3
Tureengarbh Glen (polka),192,33,13,101,45,0,0,10,6,102,14,18
Lady Doll Sinclair* (reel),85,23,6,32,24,0,0,5,4,33,8,6
"Beauty Spot (reel), The",166,62,4,65,35,0,0,16,3,66,17,4
"Reel of Darragh, The",123,15,7,65,36,0,0,6,3,66,4,7
"Lannamacree Jig, The",111,13,8,64,26,0,0,6,2,65,7,8
Gilbert Clancy's (reel),119,58,2,31,28,0,0,12,4,32,17,2
Sporting Nell (reel),149,52,3,65,29,0,0,11,4,66,14,4
"Promenade Side-Step, The",100,24,6,47,23,0,0,11,3,48,8,8
Anderson's  Reel,91,30,7,32,22,0,0,8,3,33,9,7
Miss Langford (reel),116,59,4,31,22,0,0,12,3,32,16,4
John Fleming's Slide,79,22,4,31,22,0,0,8,3,32,9,5
"Duke of Leinster Hornpipe, The",126,39,2,64,21,0,0,13,3,65,11,2
Bank of Turf (hornpipe),244,96,5,96,47,0,0,13,6,97,29,6
Berries on the Bush* (polka),65,4,7,32,22,0,0,2,2,33,2,9
Lord Gordon (reel),165,62,6,66,31,0,0,12,6,67,18,6
Fred Finn's (reel),167,69,4,63,31,0,0,12,4,64,21,4
Wellington's Reel,159,62,5,63,29,0,0,12,5,64,16,6
"Four Shoves (1) (polka), The",80,4,8,48,20,0,0,2,2,49,2,8
"Sailor's Farewell (reel), The",126,24,10,60,32,0,0,8,3,61,6,10
"Green Groves of Erin (reel), The",193,83,7,63,40,0,0,13,4,64,23,6
Lady Gordon's* (reel),98,45,1,31,21,0,0,11,3,32,14,1
Ryan's Rant (reel),65,18,1,31,15,0,0,8,1,32,3,1
"Eight and Forty Sisters (reel), The",104,34,5,47,18,0,0,9,2,48,10,5
"Rising Sun (a2) (reel), The",111,54,3,32,22,0,0,12,5,33,16,3
Byrne's Hornpipe,139,48,4,64,23,0,0,11,3,65,14,4
"Limerick Jig, The",126,24,8,63,31,0,0,8,3,64,9,11
Tenpenny Bit,110,8,10,64,28,0,0,4,3,65,3,12
Tom's My Other Son* (polka),111,19,6,63,23,0,0,9,3,64,6,8
Hawke's (hornpipe),167,61,8,64,34,0,0,12,3,65,19,8
Lord Wilson's Hornpipe,164,65,5,64,30,0,0,10,4,65,20,6
Tommy Cowley's,104,10,7,64,23,0,0,4,3,65,6,7
Fanning's Jig,121,7,11,63,40,0,0,3,2,64,4,11
"Bat in the Belfry*, The",121,18,8,64,31,0,0,6,3,65,7,10
Moving Bogs (reel),165,67,5,63,30,0,0,14,2,64,19,5
"Silver Grove (hornpipe) *, The",227,71,9,97,50,0,0,13,7,98,26,9
"Cornhill Reel, The",160,64,8,47,41,0,0,11,4,48,20,7
Chain the Pony,116,14,10,61,31,0,0,7,3,62,6,11
"Maid of the Glen (reel), The",96,45,1,31,19,0,0,12,2,32,12,1
Dark Girl Dressed in Blue (2) (polka),120,30,5,63,22,0,0,9,4,64,10,5
"Tailor's Thimble (reel), The",144,43,6,64,31,0,0,15,4,65,11,6
Carthy's Reel,229,54,11,127,37,0,0,13,4,128,13,9
Wink Her Aside,103,9,6,64,24,0,0,4,3,65,5,6
Dicky Sherlock's Reel,163,57,10,64,32,0,0,12,5,65,18,7
Lawson's Hornpipe,187,82,6,63,36,0,0,11,5,64,27,5
Roll Her in the Haystack (reel),194,78,11,63,42,0,0,13,5,64,23,13
"Pride of Cloontia (reel), The",137,46,3,64,24,0,0,10,3,65,14,3
"Lady on the Island (reel), The",77,18,5,33,21,0,0,7,4,34,6,5
Brandy With Breakfast* (reel),98,42,4,31,21,0,0,10,2,32,11,4
"Daisy Fields (reel), The",107,52,3,31,21,0,0,14,6,32,11,4
Basket of Eggs 2 (1666 jig),206,11,12,137,46,0,0,5,4,138,5,17
Miss McLeod's Polka,187,40,11,95,41,0,0,13,3,96,13,14
"Chattering Magpie (reel), The",106,47,4,33,22,0,0,13,5,34,13,5
O'Mahony's Hornpipe,145,48,5,64,28,0,0,9,5,65,15,5
Solus Lillis' Reel,85,35,1,31,18,0,0,8,2,32,10,1
Crosses of Annagh (reel),309,113,7,125,64,0,0,15,4,126,39,9
"Whinny Hills of Leitrim, The",104,31,5,47,21,0,0,11,3,48,10,6
"Silly Old Man, The",83,10,4,48,21,0,0,4,2,49,6,4
"Long Hills of Mourne (reel), The",151,54,3,63,31,0,0,9,4,64,16,4
Dan O'Keeffe's Slide,112,25,8,48,31,0,0,8,3,49,12,13
Elizabeth Kelly's Delight (sj),81,10,5,47,19,0,0,4,3,48,3,5
"Basket of Turf, The",210,58,8,94,50,0,0,10,3,95,23,13
Maurice Manley's (polka),126,19,12,63,32,0,0,7,4,64,7,16
"Hawthorn Blossom (reel), The",110,48,7,31,24,0,0,11,5,32,13,7
Green-Gowned Lass (reel),110,44,9,31,26,0,0,11,4,32,12,7
Munster Buttermilk,163,33,8,79,43,0,0,11,3,80,13,10
Rattle the Peas,111,15,7,63,26,0,0,6,3,64,5,9
"Congress (reel), The",148,54,2,64,28,0,0,11,4,65,17,2
Lovely Lassie Winking (reel),90,34,4,32,20,0,0,9,3,33,10,3
Doon Reel,94,31,7,32,24,0,0,9,4,33,8,9
"Moig Cross Slide*, The",126,13,14,64,35,0,0,7,2,65,5,25
O'Connell's Welcome to Parliament,98,8,7,64,19,0,0,3,3,65,4,7
Monsignor's Blessing (reel),111,52,4,32,23,0,0,11,4,33,14,4
"Tune of the Rag (reel), The",170,57,8,63,42,0,0,9,2,64,21,11
"Sheep on the Mountains, The",236,40,12,144,40,0,0,14,4,145,14,14
"Back Garden* (polka), The",139,30,12,64,33,0,0,10,5,65,14,15
"Master's Sporting Paddy (reel), The",90,31,6,32,21,0,0,8,3,33,10,6
Rip the Calico* (reel),156,72,3,44,37,0,0,8,4,45,26,3
Bashful Bachelor 2 (hornpipe),201,98,4,64,35,0,0,13,6,65,28,4
West the Hill (hornpipe),160,61,8,64,27,0,0,12,5,65,16,7
"Wren Hornpipe, The",146,49,4,64,29,0,0,11,4,65,13,4
"Tiger Hornpipe, The",124,68,3,32,21,0,0,15,3,33,16,3
Up to Your Knees in Sand (reel),112,13,6,64,29,0,0,6,3,65,5,6
"East Part of Kerry* (polka), The",121,30,6,63,22,0,0,9,3,64,9,6
Flaherty's (hornpipe),155,54,7,64,30,0,0,12,3,65,15,6
"Pomeroy Fiddler* (reel), The",124,69,1,31,23,0,0,14,5,32,17,1
Dash to Portobello (reel),166,67,5,64,30,0,0,15,6,65,17,6
"Humors of Kesh, The",136,35,6,64,31,0,0,9,4,65,13,7
Ryan's Flute* (reel),70,14,4,33,19,0,0,5,4,34,5,4
Daniel of the Sun,143,33,9,64,37,0,0,9,4,65,12,10
Connell's Contribution* (reel),87,37,2,31,17,0,0,11,2,32,9,2
"Hare's Foot (reel), The",113,53,5,32,23,0,0,10,5,33,15,5
Bedford Cross*,102,17,3,63,19,0,0,6,3,64,7,4
"Geese in the Bog, The",130,36,1,63,30,0,0,9,2,64,15,1
"Ship Doctor, The",96,24,4,47,21,0,0,8,2,48,9,5
John Potts' Reel,152,54,5,64,29,0,0,10,2,65,18,5
"Sean Ryan's ""Dooney Rock""",117,9,12,64,32,0,0,5,3,65,4,13
Kennaw's (reel),178,28,12,100,38,0,0,9,4,101,7,13
"Rover Reel, The",95,41,4,31,19,0,0,11,3,32,9,5
Bill Harte's,240,31,7,152,50,0,0,10,4,153,12,7
Breen's Hornpipe,268,149,7,59,53,0,0,10,6,60,39,7
"Evening in Clare* (reel), An",80,19,5,32,24,0,0,7,3,33,6,6
"Midwestern Reel*, The",164,65,6,63,30,0,0,15,4,64,16,6
"Tabby Cat* (polka), The",104,11,7,64,22,0,0,5,4,65,4,8
"Green Fields of Rossbeigh (reel), The",151,53,5,64,29,0,0,11,4,65,16,5
"Blackhaired Lass (reel), The",227,49,8,128,42,0,0,11,3,129,15,8
Bresnahan's Frolics*,121,29,2,63,27,0,0,9,2,64,10,3
Farewell to the Heather (reel),112,7,12,64,29,0,0,3,2,65,4,12
"West Wind (reel), The",166,80,0,47,39,0,0,14,6,48,24,0
Miss McDonald (reel),114,52,8,31,23,0,0,10,3,32,13,7
"Taste of Scotland* (reel), A",103,53,0,31,19,0,0,13,2,32,14,0
Lomanach Cross (reel),118,51,9,32,26,0,0,13,3,33,12,9
Over the Moor to Peggy (reel),97,45,0,32,20,0,0,9,2,33,14,0
"Stone in the Field (reel), The",130,27,10,64,29,0,0,10,6,65,6,10
Theresa Ryan's* (hornpipe),146,52,4,64,26,0,0,12,5,65,16,5
Big Barney's Jig,105,8,7,64,26,0,0,4,2,65,4,9
Paddy's Choice* (reel),174,63,7,70,34,0,0,15,7,71,18,7
Coming Home from the Bog (reel),114,53,5,31,25,0,0,9,4,32,16,6
"Slow Train to Dublin* (reel), The",91,42,2,31,16,0,0,12,2,32,10,2
Patsy Tuohey's (reel),106,47,5,32,22,0,0,13,3,33,12,5
Bees in the Cherry Tree,115,13,11,64,27,0,0,5,3,65,7,13
"Hag's Purse, The",216,15,12,150,39,0,0,7,3,151,7,13
Farewell to Erin (reel),139,51,2,64,22,0,0,12,4,65,15,2
Lucy Campbell (reel),181,67,6,64,44,0,0,11,5,65,17,6
Jim Keeffe's Polka,109,11,8,64,26,0,0,5,3,65,3,9
O'Connell's Reel,102,47,1,32,22,0,0,13,2,33,13,1
"Dublin Lasses (reel), The",101,43,5,32,21,0,0,12,5,33,11,5
"Sunny Banks (reel), The",172,75,2,64,31,0,0,12,5,65,24,2
"Clare Reel, The",93,40,4,31,18,0,0,13,3,32,10,6
"Gooseberry Bush (reel), The",368,91,17,190,70,0,0,11,4,191,31,22
Humors of Carrigaholt (reel),116,56,5,31,24,0,0,12,4,32,17,3
"Priest in His Boots, The",130,37,5,63,25,0,0,8,5,64,13,5
"Boys of Kilsarne (reel), The",119,28,8,49,34,0,0,9,5,50,8,8
"Baker's Reel, The",118,21,7,64,26,0,0,7,4,65,8,7
Nine Points of Roguery (reel),170,25,11,96,38,0,0,7,3,97,6,11
Anthony Frawley's Jig,132,33,6,64,29,0,0,9,3,65,13,7
Top It Off,133,25,8,72,28,0,0,9,3,73,11,8
Bolton Street (reel),176,49,3,95,29,0,0,13,2,96,12,3
Greig's Pipes (reel),234,83,13,79,59,0,0,13,3,80,27,11
Miss Cox (reel),129,18,7,63,41,0,0,6,4,64,5,7
"Horseshoe, The",111,12,8,63,28,0,0,4,2,64,4,11
"Connacht Heifers (reel), The",103,51,0,31,21,0,0,12,6,32,13,0
"Gander at the Pratie Hole, The",234,45,5,149,35,0,0,15,4,150,16,5
Mick Hand's (reel),113,54,5,31,23,0,0,12,4,32,14,5
"Hard Road, The",104,10,5,65,24,0,0,4,2,66,5,5
John Fennell's Jig*,98,7,6,64,21,0,0,3,2,65,4,7
"Day After the Fair, The",127,31,5,63,28,0,0,11,3,64,10,7
"Railroad (reel), The",115,51,4,34,26,0,0,11,4,35,15,4
Dan Sweeney's* 1 (polka),107,22,4,63,18,0,0,8,3,64,7,6
Old Hag Beware!* (slide),118,26,6,63,23,0,0,9,3,64,10,7
My Love is Such a Fair One (reel),82,23,6,32,21,0,0,9,1,33,5,7
Dusty Miller,124,20,7,71,26,0,0,8,3,72,7,11
Time Well Spent* (hornpipe),93,33,6,32,22,0,0,8,6,33,8,6
"Sporting Days of Easter (reel), The",162,55,9,66,32,0,0,17,4,67,13,6
Miss Geraldine's Jig*,103,8,7,64,24,0,0,3,3,65,4,7
"Green Pigeon (reel), The",155,52,2,70,31,0,0,13,3,71,14,2
Tansey's Favorite (reel),124,65,3,31,25,0,0,11,6,32,18,3
Lucy McKenna's,118,24,5,64,25,0,0,7,3,65,10,5
"Butcher's Jig*, The",131,36,4,63,28,0,0,8,3,64,14,4
"Newborn Lamb* (polka), The",128,26,10,64,28,0,0,9,5,65,11,10
"Repeal of the Union (reel), The",109,51,3,31,24,0,0,12,4,32,14,3
"Master's Flax in Bloom (reel), The",200,65,6,95,34,0,0,12,3,96,16,6
Nellie Is My Love*,105,14,6,64,21,0,0,7,3,65,6,7
McMahon's Reel,143,54,2,63,24,0,0,11,4,64,15,2
"New Policeman (reel), The",122,64,3,31,24,0,0,11,6,32,20,3
Josie McDermott's (reel),220,103,6,61,50,0,0,13,4,62,34,8
"Clonmel Fiddler* (polka), The",75,24,2,31,18,0,0,7,4,32,8,2
"Mullingar Races (reel), The",163,66,5,62,30,0,0,13,6,63,17,5
"Hag with Her Keg on her Shoulder, The",216,13,13,149,41,0,0,5,3,150,5,13
"High Part of the Road, The",146,40,11,63,32,0,0,13,4,64,12,13
My Love in the Morning,109,8,11,64,26,0,0,4,3,65,3,12
Scatter the Mud,104,10,7,64,23,0,0,5,3,65,4,7
O'Leary's Daughter* (slide),108,8,7,64,29,0,0,4,3,65,3,11
"Little White Coat, The",105,7,7,64,27,0,0,3,2,65,4,7
"Collegians of Glasgow (reel), The",62,4,6,32,20,0,0,2,2,33,2,6
"Bird in the Tree (reel), The",127,59,7,32,29,0,0,12,3,33,17,7
"Game of Love (reel), The",114,51,6,32,25,0,0,13,3,33,14,6
Brown Bread and Cheese* (polka),117,17,11,63,26,0,0,7,4,64,6,11
Down the Banks With Mary (reel),110,54,2,32,22,0,0,12,5,33,16,2
Mind the Step*,121,25,6,64,26,0,0,8,4,65,9,8
Farewell to Connacht (reel),234,69,1,127,37,0,0,15,4,128,20,1
Larry's Polka*,117,13,10,64,30,0,0,5,4,65,5,14
"Sword in Hand (reel), The",84,33,3,32,16,0,0,10,3,33,8,3
"Gimlet (""Gimblet""), The",95,21,5,47,22,0,0,7,4,48,7,7
Gorman's Reel,109,46,6,32,25,0,0,11,3,33,15,6
Pay the Reckoning,128,31,6,63,28,0,0,10,2,64,11,8
Gone for His Tea (reel),130,70,3,30,27,0,0,9,3,31,21,3
"Rocky Road to Dublin, The",284,39,12,170,63,0,0,14,3,171,16,14
"Waves of Clew Bay* (reel), The",118,65,0,31,22,0,0,13,7,32,18,0
Mama's Pet (reel),100,48,2,31,19,0,0,11,3,32,13,2
"Otter's Hole (reel), The",192,87,4,60,41,0,0,10,4,61,28,4
"Listowel Fiddler* (slide), The",108,10,9,64,25,0,0,5,3,65,4,10
Tuttle's Reel*,149,54,4,63,28,0,0,11,2,64,15,4
Boil the Kettle Early (reel),126,67,4,31,24,0,0,13,4,32,19,4
Traver's Reel,125,61,6,32,26,0,0,12,6,33,15,6
"Munster Slip, The",144,56,7,47,34,0,0,13,3,48,20,11
Micho's Tent (*) (reel),137,55,6,47,29,0,0,11,3,48,17,8
Priest of the Boots,147,31,7,76,33,0,0,8,3,77,13,10
Ballinasloe Fair (reel),153,67,5,47,34,0,0,13,7,48,18,6
It's an Ill Wind,70,9,8,32,21,0,0,4,2,33,5,8
Taylor's Fancy (slide),117,20,6,63,28,0,0,8,3,64,7,11
"Maulykevane Jig, The",119,12,7,63,37,0,0,6,3,64,5,8
"Bucks of Dublin, The",109,11,8,64,26,0,0,6,2,65,5,9
"Drimcong Jig, The",123,30,4,63,26,0,0,9,3,64,11,5
"White Mountain (reel), The",215,98,6,63,48,0,0,11,6,64,30,6
Callaghan's Progress*,137,30,9,63,35,0,0,9,4,64,9,13
Maggie Shanley's Slide,99,12,3,63,21,0,0,5,3,64,4,3
"Humors of Ross, The",119,15,7,64,33,0,0,6,3,65,8,8
"Spring Field Jig*, The",99,7,7,64,21,0,0,3,2,65,4,7
John Joe Gannon's (hornpipe),170,73,4,64,29,0,0,12,3,65,20,4
"Hare in the Heather (reel), The",134,48,3,48,35,0,0,10,4,49,14,3
Paddy from Clare (reel),113,49,7,31,26,0,0,11,3,32,11,8
"Tulla Reel (reel), The",126,20,9,64,33,0,0,6,4,65,7,9
"Hurlers' March, The",506,99,18,286,103,0,0,17,6,287,35,20
"Duke's Retreat* (hornpipe), The",112,44,7,32,29,0,0,11,3,33,16,9
Murphy from Wexford*,108,12,7,64,25,0,0,5,3,65,6,8
Over the Hills and Far Away (polka),111,13,10,63,25,0,0,5,3,64,5,15
Spare the Rod* (reel),92,30,5,32,25,0,0,8,3,33,10,5
"Scotch Hunt (reel), The",117,59,3,31,24,0,0,11,5,32,16,3
"Sky Over Fenit* (reel), The",125,36,2,63,24,0,0,9,3,64,10,2
Last Night's Fun 1 (reel),160,60,7,63,30,0,0,13,4,64,17,7
Martin Ansboro's (reel),96,40,4,31,21,0,0,8,5,32,11,3
Lord Wellington (reel),123,67,0,31,25,0,0,13,5,32,18,0
O'Callaghan's*  (reel),183,72,8,64,39,0,0,13,4,65,22,9
Rowsome's Kerry Jig,129,19,13,61,36,0,0,8,3,62,7,17
Jackson's Rambles,108,9,7,64,28,0,0,4,2,65,5,7
Miss Ramsay* (reel),102,47,3,31,21,0,0,11,3,32,12,4
Jack Maguire's Reel,172,71,4,63,34,0,0,13,4,64,21,4
"Girls of the County Mayo (reel), The",80,27,5,31,17,0,0,8,2,32,7,5
"Pub at the Crossroads* (hornpipe), The",162,60,6,64,32,0,0,12,3,65,19,8
My Love is in America (reel),149,55,4,63,27,0,0,13,3,64,13,4
"Killaloe Boat, The",110,9,8,64,29,0,0,4,3,65,5,8
Your Mother's Fair Pet (reel),102,43,5,31,23,0,0,12,3,32,11,4
Paddy Byrne's Quick Step*,92,22,4,47,19,0,0,8,3,48,7,7
"Perfect Cure, The",118,18,10,64,26,0,0,9,3,65,8,11
O'Flynn's Fancy (reel),105,46,4,31,24,0,0,10,3,32,14,4
Farewell to Leitrim* (reel),146,81,3,32,30,0,0,13,4,33,22,3
"Day I Met Tom Moylan (reel), The",162,58,8,63,33,0,0,11,3,64,16,9
"Kerryman's Clog* (hornpipe), The",173,71,7,64,31,0,0,12,7,65,19,7
Lovely Anne (reel),78,16,5,33,24,0,0,7,4,34,5,5
